"KOL ID","KOL Name","Updates","Image Link","Source Link","AA Comments","validation error message","validation action"
"HDTD_00136","Helen Margaret Bronte-Stewart","New","https://med.stanford.edu/services/api/cap/profiles/photocache.4377.jpg","https://med.stanford.edu/profiles/helen-bronte-stewart","Added by AA on 04/30/2024","",""
"HDTD_01839","Seth L Pullman","New","https://www.neurology.columbia.edu/sites/default/files/styles/cola_media_260/public/cups-profile/headshot/25cd25c0-e4b0-11ea-9739-29851ef36139.jpg?itok=n770UfTc","https://www.neurology.columbia.edu/profile/seth-l-pullman-md","Added by AA on 04/30/2024","",""
"HDTD_01244","David Christopher Bragg","New","https://researchers.mgh.harvard.edu/image/25132141/thumbnail/private/16881824","https://researchers.mgh.harvard.edu/profile/11993052/D.-Cristopher-Bragg","Added by AA on 04/30/2024","",""
"HDTD_03114","Leonard Verhagen-Metman","New","https://deptcommon.fsm.northwestern.edu/profile-images/56282.JPG","https://www.feinberg.northwestern.edu/faculty-profiles/az/profile.html?xid=56282","Added by AA on 04/30/2024","",""
"HDTD_01811","Claire Henchcliffe","New","https://www.ucihealth.org/-/media/images/modules/physician-directory/physicians/h/henchcliffe-claire160x185.jpg?h=185&iar=0&mh=200&mw=200&w=160&hash=20523D96B34466C47E7B968F8EAFCB4F","https://www.ucihealth.org/find-a-doctor/h/claire-henchcliffe","Added by AA on 04/30/2024","",""
"HDTD_00394","Kenneth L Marek","New","https://img1.wsimg.com/isteam/ip/074a3474-9ff6-4979-a9af-27d821061556/MareK-older-photo-0001.jpg/:/cr=t:0%25,l:0%25,w:100%25,h:100%25/rs=w:400,cg:true","https://indd.org/leadership-team","Added by AA on 04/30/2024","",""
"HDTD_00180","Thomas Dwight Bird","New","https://depts.washington.edu/mbwc/content/news-img/396/untitled-z1-2__full.jpg","https://depts.washington.edu/mbwc/news/article/one-of-the-worlds-first-experts-in-neurogenetics","Added by AA on 04/30/2024","",""
"HDTD_00294","Sophie (Hyun Joo) Cho","New","https://research.ninds.nih.gov/sites/default/files/styles/faculty_member_200w_/public/images/2021-03/sophie%20cho.jpg?itok=wBy40Ii_","https://research.ninds.nih.gov/staff-directory/hyun-joo-sophie-cho-md","Added by AA on 04/30/2024","",""
"HDTD_00078","Douglas Robert Langbehn","New","https://profiles.uiowa.edu/api/people/douglas-langbehn/image","https://medicine.uiowa.edu/psychiatry/profile/douglas-langbehn","Added by AA on 04/30/2024","",""
"HDTD_00181","Bradley Fitzgerald Boeve","New","https://www.actcinfo.org/wp-content/uploads/2019/09/bboeve.jpg.webp","https://www.actcinfo.org/people/bradley-boeve-md/","Added by AA on 04/30/2024","",""
"HDTD_00668","Tetsuo Ashizawa","New","https://scholars.houstonmethodist.org/ws/files/19513509/Ashizawa_T_220x250.jpg","https://www.houstonmethodist.org/faculty/tetsuo-ashizawa/","Added by AA on 04/30/2024","",""
"HDTD_00660","Marie Ynez Davis","New","https://www.uwmedicine.org/sites/stevie/files/styles/square_l/public/provider-images/api-bioimage-marie-davis.jpg?itok=4Rs5ngnh","https://www.uwmedicine.org/bios/marie-davis","Added by AA on 04/30/2024","",""
"HDTD_02297","Cathrin Margarete Buetefisch","New","https://biomed.emory.edu/profiles/5fc3b8b77c2f4d47930f63eba611b21c.png","https://biomed.emory.edu/PROGRAM_SITES/NS/academics/faculty-detail.html?action=getFacultyDetail&gdbbsId=e55a695b-f141-4493-96aa-3823e8d5fc3f","Added by AA on 04/30/2024","",""
"HDTD_00103","Alexander Y Pantelyat","New","https://cdn-images.kyruus.com/providermatch/johnshopkins/photos/200/pantelyat-alexander-1295990554.jpg","https://profiles.hopkinsmedicine.org/provider/Alexander+Pantelyat/2704273","Added by AA on 04/30/2024","",""
"HDTD_00806","Jerrold Lee Vitek","New","https://med.umn.edu/sites/med.umn.edu/files/web_profiles/2022-11/jerroldvitek.jpeg","https://med.umn.edu/bio/jerrold-vitek","Added by AA on 04/30/2024","",""
"HDTD_00789","Kamalika Roy","New","https://psychiatry.uw.edu/wp-content/uploads/2021/11/Roy_Kamalika_web.png","https://psychiatry.uw.edu/profile/kamalika-roy/","Added by AA on 04/30/2024","",""
"HDTD_01828","Fenna Tanner Phibbs","New","https://www.vumc.org/neurology/sites/default/files/people/phibbs.jpg","https://www.vumc.org/neurology/person/fenna-t-phibbs-md-mph","Added by AA on 04/30/2024","",""
"HDTD_02262","David M Eidelberg","New","https://dam.northwell.edu/m/c336c9c1f4eb8edb/Drupal-Eidelberg-David-fs.jpg","https://feinstein.northwell.edu/institutes-researchers/our-researchers/david-eidelberg-md","Added by AA on 04/30/2024","",""
"HDTD_03088","Addie Kristine Patterson","New","https://doximity-res.cloudinary.com/images/f_auto,q_auto,t_profile_photo_320x320/pqotg1x3suygbeg5zbqw/addie-patterson-do-gainesville-fl.jpg","https://www.doximity.com/pub/addie-patterson-do","Added by AA on 04/30/2024","",""
"HDTD_03348","Rose Mary Xavier","New","https://e1.nmcdn.io/uncnursing/wp-content/uploads/2021/06/Rose-Mary-Xavier_preferred-2019-scaled-e1626278852387.jpg/v:1-dynamic:1-aspect:1-fit:cover/Rose-Mary-Xavier_preferred-2019-scaled-e1626278852387--600.webp","https://nursing.unc.edu/people/rose-mary-xavier","Added by AA on 04/30/2024","",""
"HDTD_00110","Merit Ester Cudkowicz","New","https://researchers.mgh.harvard.edu/far/image/24076542/thumbnail/private/16881824","https://researchers.mgh.harvard.edu/profile/1520993/Merit-Cudkowicz","Added by AA on 04/30/2024","",""
"HDTD_03051","Abhimanyu Mahajan","New","https://webcentral.uc.edu/eprof/media/repository/1307MahajanAbhimanyu6899.jpg","https://med.uc.edu/landing-pages/profile/Index/Pubs/mahajaau","Added by AA on 04/30/2024","",""
"HDTD_01237","Phillip A Low","New","https://www.mayoclinic.org/-/media/kcms/employees/2018/06/16/21/17/phillip-low-10190929.jpg","https://www.mayoclinic.org/biographies/low-phillip-a-m-d/bio-20053707","Added by AA on 04/30/2024","",""
"HDTD_03075","Camilo Toro","New","https://www.genome.gov/sites/default/files/media/images/2023-08/toro_camillo.jpg","https://www.genome.gov/staff/Camilo-Toro-MD","Added by AA on 04/30/2024","",""
"HDTD_00309","Nicolaas I Bohnen","New","https://medicine.umich.edu/sites/default/files/styles/profile/public/person/RAD_Bohnen_Nico.jpg?itok=nD3nQTlQ","https://medicine.umich.edu/dept/radiology/nicolaas-bohnen-md-phd","Added by AA on 04/30/2024","",""
"HDTD_03352","Rodolfo Savica","New","https://www.mayo.edu/-/media/kcms/employees/2018/06/16/22/32/rodolfo-savica-14929449.jpg","https://www.mayo.edu/research/faculty/savica-rodolfo-m-d-ph-d/bio-20152599","Added by AA on 04/30/2024","",""
"HDTD_07910","Rajiv Tandon","New","https://www.med.wmich.edu/sites/default/files/frfphotos/RA106511.jpg","https://www.med.wmich.edu/node/1907","Added by AA on 04/30/2024","",""
"HDTD_01400","Aloysius Domingo","New","https://www.massgeneral.org/assets/mgh/images/neurology/xdp-center/domingo-aloy-135x145.png","https://www.massgeneral.org/neurology/xdp-center/about/aloysius-domingo","Added by AA on 04/30/2024","",""
"HDTD_00220","Xiang Yang Zhang","New","https://i1.rgstatic.net/ii/profile.image/327297585434626-1455045233513_Q128/Xiang-Zhang-92.jpg","https://www.researchgate.net/profile/Xiang-Zhang-92","Added by AA on 04/30/2024","",""
"HDTD_02275","Edwin Black George II","New","https://www.waynehealthcares.org/wp-content/uploads/George.jpg","https://www.waynehealthcares.org/meet-the-provider-edwin-george-m-d-ph-d/","Added by AA on 04/30/2024","",""
"HDTD_03386","Wolfgang Singer","New","https://www.mayoclinic.org/-/media/kcms/employees/2018/06/16/22/00/wolfgang-singer-13027085.jpg","https://www.mayoclinic.org/biographies/singer-wolfgang-m-d/bio-20538100","Added by AA on 04/30/2024","",""
"HDTD_00280","Joshua K Wong","New","https://ufhealth.org/assets/profile-photos/hero/_1920x822_crop_center-center_82_line/JoshuaWong-hero.jpg.webp","https://ufhealth.org/doctors/joshua-wong","Added by AA on 04/30/2024","",""
